Age,AQT C-F,AQT C-N,AQT C-L,FSIQ2,RANDOT
37,49,44,56,111,25
30,49,41,38,107,20
32,38,32,34,107,70
37,57,40,38,101,50
50,59,41,49,94,50
70,54,48,45,147,50
60,57,54,53,120,25
23,62,52,53,112,50
72,49,45,48,123,70
35,40,35,38,110,50
61,37,32,39,104,40
27,48,41,38,109,50
63,36,43,39,139,50
54,45,44,43,106,140
76,46,39,55,105,70
47,51,34,39,117,70
76,60,55,58,110,400
62,41,39,38,141,70
58,39,41,43,103,70
67,50,48,49,93,70
76,42,39,38,134,400
63,42,37,40,117,70
26,49,45,40,132,50
20,38,40,38,106,25
22,60,50,46,104,30
75,55,38,49,140,200
38,33,34,36,139,70
57,42,37,39,117,50
42,48,42,39,117,30
21,61,50,52,97,50
